cap-shape,cap-surface,cap-color,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,spore-print-color,population,habitat,edible
x,s,g,n,w,b,p,t,e,k,s,g,e
x,s,y,l,c,b,w,e,c,k,s,m,e
f,y,w,p,c,n,n,e,e,k,v,g,p
f,s,w,n,w,b,p,t,e,k,s,g,e
f,s,n,n,w,b,h,t,e,k,s,g,e
f,s,g,n,w,b,n,t,e,n,s,g,e
f,f,g,n,w,b,h,t,e,n,s,g,e
x,y,n,n,c,b,p,t,b,n,y,d,e
x,f,n,n,c,b,n,t,b,k,y,d,e
x,y,y,a,c,b,n,e,r,n,y,p,e
x,f,g,n,c,b,w,t,b,k,y,d,e
f,f,g,n,w,b,p,t,e,n,a,g,e
f,s,n,n,w,b,h,t,e,k,s,g,e
f,s,w,n,w,b,n,t,e,n,a,g,e
x,f,g,n,w,b,k,t,e,n,a,g,e
f,s,w,n,w,b,n,t,e,k,s,g,e
f,f,g,n,w,b,n,t,e,n,a,g,e
x,f,g,n,w,b,k,t,e,n,a,g,e
x,s,n,n,w,b,k,t,e,n,a,g,e
x,f,n,n,c,b,w,t,b,k,y,d,e
f,s,w,n,w,b,k,t,e,n,s,g,e
f,f,n,n,w,b,n,t,e,k,s,g,e
f,y,n,p,c,n,w,e,e,k,s,g,p
x,f,n,n,c,b,n,t,b,k,y,d,e
x,f,n,n,w,b,p,t,e,k,s,g,e
f,f,w,n,w,b,n,t,e,k,s,g,e
f,y,n,p,c,n,n,e,e,n,v,u,p
f,f,g,n,w,b,k,t,e,k,s,g,e
x,f,g,n,c,b,n,t,b,k,v,d,e
x,f,w,n,w,b,p,t,e,k,a,g,e
x,f,g,n,w,b,h,t,e,k,s,g,e
x,f,n,n,c,b,w,t,b,n,v,d,e
x,s,g,n,w,b,h,t,e,n,a,g,e
f,f,w,n,w,b,p,t,e,n,a,g,e
x,f,g,n,c,b,u,t,b,k,y,d,e
x,y,w,l,c,b,w,e,c,k,n,g,e
x,y,w,l,c,b,k,e,c,n,n,m,e
f,s,g,n,w,b,p,t,e,n,s,g,e
f,s,w,n,w,b,k,t,e,k,a,g,e
f,s,n,n,w,b,n,t,e,k,s,g,e
f,s,w,n,w,b,p,t,e,k,a,g,e
x,f,n,n,w,b,h,t,e,n,a,g,e
x,s,n,n,w,b,n,t,e,n,s,g,e
b,y,y,a,c,b,g,e,c,n,n,m,e
f,y,w,p,c,n,k,e,e,k,v,g,p
x,s,n,n,w,b,k,t,e,k,a,g,e
f,s,n,n,w,b,k,t,e,k,s,g,e
x,y,n,a,c,b,n,e,r,k,s,g,e
x,s,g,n,w,b,n,t,e,n,a,g,e
f,s,w,n,w,b,k,t,e,n,a,g,e
x,s,n,p,c,n,n,e,e,k,v,u,p
f,s,g,n,w,b,n,t,e,k,a,g,e
x,f,w,n,w,b,p,t,e,n,s,g,e
f,s,n,p,c,n,n,e,e,k,v,g,p
x,f,n,n,w,b,p,t,e,n,a,g,e
x,s,n,n,w,b,p,t,e,k,a,g,e
x,f,n,n,c,b,u,t,b,k,v,d,e
f,s,w,n,w,b,p,t,e,k,s,g,e
f,s,w,p,c,n,p,e,e,n,v,u,p
x,f,w,n,w,b,h,t,e,k,a,g,e
f,f,n,n,w,b,h,t,e,n,s,g,e
f,s,g,n,w,b,p,t,e,n,s,g,e
x,f,w,n,w,b,n,t,e,k,a,g,e
f,y,n,l,c,b,w,e,r,n,y,g,e
f,s,w,p,c,n,w,e,e,n,s,g,p
x,f,w,n,w,b,p,t,e,n,a,g,e
f,f,n,n,c,n,p,e,e,k,y,u,e
f,y,n,p,c,n,w,e,e,n,s,u,p
f,s,w,n,w,b,n,t,e,n,s,g,e
x,f,g,n,w,b,k,t,e,n,s,g,e
f,y,y,a,c,b,n,e,r,n,y,p,e
x,f,w,n,w,b,h,t,e,n,s,g,e
x,f,w,n,w,b,h,t,e,k,a,g,e
f,y,n,p,c,n,n,e,e,n,s,g,p
f,f,n,n,w,b,h,t,e,k,s,g,e
f,f,g,n,w,b,k,t,e,n,s,g,e
x,f,n,n,w,b,n,t,e,k,s,g,e
x,f,n,n,c,b,p,t,b,n,v,d,e
x,s,g,n,w,b,k,t,e,k,s,g,e
x,s,g,n,w,b,n,t,e,k,a,g,e
x,f,w,n,w,b,k,t,e,k,s,g,e
f,f,g,n,w,b,h,t,e,n,s,g,e
x,f,n,n,c,b,n,t,b,k,y,d,e
x,s,w,n,w,b,p,t,e,n,s,g,e
x,s,w,p,c,n,n,e,e,n,s,u,p
f,s,g,n,w,b,n,t,e,n,a,g,e
x,s,n,n,w,b,k,t,e,n,s,g,e
x,f,n,n,c,b,p,t,b,k,v,d,e
x,y,y,a,c,b,p,e,r,n,y,g,e
x,s,g,n,w,b,k,t,e,k,a,g,e
x,f,n,n,w,b,h,t,e,k,a,g,e
x,f,w,n,w,b,k,t,e,k,a,g,e
x,y,y,a,c,b,k,e,c,n,s,g,e
x,f,n,n,c,b,p,t,b,k,y,d,e
x,f,w,n,w,b,p,t,e,k,a,g,e
x,f,w,n,w,b,n,t,e,k,a,g,e
f,s,n,p,c,n,n,e,e,n,s,u,p
f,s,w,p,c,n,k,e,e,k,v,u,p
x,s,n,n,w,b,p,t,e,k,a,g,e
x,f,g,n,c,n,n,e,e,n,v,u,e
f,s,n,n,w,b,p,t,e,k,s,g,e
x,s,w,n,w,b,k,t,e,k,a,g,e
f,s,w,p,c,n,w,e,e,k,s,g,p
b,s,y,a,c,b,k,e,c,n,s,g,e
x,f,n,n,w,b,h,t,e,k,a,g,e
f,y,n,p,c,n,n,e,e,k,s,u,p
x,s,g,n,w,b,h,t,e,k,a,g,e
x,s,g,n,w,b,k,t,e,n,s,g,e
x,s,w,n,w,b,n,t,e,k,s,g,e
f,s,w,p,c,n,n,e,e,n,v,u,p
f,s,w,n,w,b,k,t,e,k,a,g,e
x,f,n,n,w,b,h,t,e,n,a,g,e
f,f,n,n,w,b,p,t,e,n,s,g,e
x,f,n,n,w,b,p,t,e,n,a,g,e
f,y,n,p,c,n,k,e,e,k,v,g,p
x,f,w,n,w,b,p,t,e,n,s,g,e
f,s,w,n,w,b,p,t,e,n,a,g,e
f,y,w,p,c,n,k,e,e,k,v,u,p
f,s,g,n,w,b,p,t,e,k,a,g,e
f,y,n,n,c,b,w,t,b,n,v,d,e
x,f,g,n,w,b,h,t,e,n,a,g,e
x,f,g,n,c,b,u,t,b,k,v,d,e
x,y,n,n,c,b,p,t,b,n,v,d,e
f,f,n,n,c,b,n,t,b,n,y,d,e
f,y,e,n,c,b,p,t,b,k,v,d,e
f,s,g,n,w,b,h,t,e,n,s,g,e
x,f,g,n,c,b,u,t,b,n,y,d,e
x,y,g,n,c,b,p,t,b,k,y,d,e
x,f,g,n,w,b,p,t,e,n,s,g,e
f,s,n,p,c,n,n,e,e,n,s,g,p
f,f,n,n,c,b,n,t,b,k,v,d,e
x,s,n,p,c,n,n,e,e,k,v,g,p
x,s,w,a,c,b,n,e,c,n,s,g,e
x,s,w,n,w,b,h,t,e,k,a,g,e
x,y,y,a,c,b,g,e,c,n,s,g,e
x,f,g,f,c,b,h,e,b,h,y,g,p
f,s,n,n,w,b,k,t,e,n,a,g,e
f,s,w,n,w,b,p,t,e,n,s,g,e
x,f,n,n,c,b,p,t,b,k,v,d,e
f,s,n,n,w,b,h,t,e,k,s,g,e
x,f,n,n,w,b,h,t,e,k,s,g,e
x,s,w,p,c,n,p,e,e,k,v,u,p
f,f,n,n,c,b,p,t,b,n,y,d,e
x,y,w,l,c,b,k,e,c,n,n,g,e
f,f,g,n,w,b,n,t,e,k,s,g,e
x,y,e,n,c,b,n,t,b,n,v,d,e
f,f,w,n,w,b,n,t,e,k,s,g,e
x,s,g,n,w,b,p,t,e,n,a,g,e
x,y,n,n,c,b,n,t,b,k,v,d,e
x,y,g,n,c,b,w,t,b,n,y,d,e
x,f,g,n,c,b,u,t,b,k,v,d,e
f,s,w,n,w,b,n,t,e,n,a,g,e
x,f,g,n,c,b,u,t,b,k,v,d,e
x,f,n,n,c,b,u,t,b,n,v,d,e
x,f,e,n,c,b,w,t,b,n,v,d,e
x,y,n,n,c,b,w,t,b,n,y,d,e
f,f,w,n,w,b,h,t,e,n,s,g,e
x,y,n,n,c,b,p,t,b,k,y,d,e
x,s,g,n,w,b,n,t,e,k,s,g,e
x,f,g,n,w,b,h,t,e,k,a,g,e
f,f,w,n,w,b,p,t,e,n,a,g,e
x,y,g,n,c,b,p,t,b,k,v,d,e
f,y,n,p,c,n,k,e,e,n,s,u,p
x,y,e,n,c,b,p,t,b,k,v,d,e
f,f,w,n,w,b,p,t,e,k,s,g,e
f,s,g,n,w,b,h,t,e,n,a,g,e
x,y,g,n,c,b,w,t,b,n,v,d,e
f,f,g,n,c,b,p,t,b,k,v,d,e
x,f,n,n,c,b,w,t,b,k,v,d,e
f,f,e,n,c,b,n,t,b,k,v,d,e
x,s,w,n,w,b,h,t,e,n,a,g,e
x,f,e,n,c,b,w,t,b,n,v,d,e
x,f,n,n,c,b,p,t,b,k,v,d,e
x,f,g,n,c,b,u,t,b,k,y,d,e
x,f,n,n,c,b,n,t,b,n,y,d,e
x,f,y,a,w,n,w,t,b,n,v,d,e
x,f,e,n,c,b,w,t,b,n,v,d,e
f,s,w,p,c,n,w,e,e,n,v,g,p
x,s,w,n,w,b,h,t,e,k,s,g,e
x,f,e,n,c,b,u,t,b,n,y,d,e
x,y,n,n,c,b,w,t,b,k,v,d,e
x,f,w,n,w,b,h,t,e,k,a,g,e
x,f,g,n,c,b,w,t,b,n,y,d,e
x,s,g,n,w,b,n,t,e,n,s,g,e
x,y,e,n,c,b,w,t,b,n,y,d,e
x,y,n,n,c,b,u,t,b,n,v,d,e
x,s,w,n,w,b,p,t,e,k,a,g,e
x,s,n,n,w,b,n,t,e,k,a,g,e
x,s,w,n,w,b,n,t,e,k,s,g,e
x,s,n,n,w,b,n,t,e,k,s,g,e
f,f,e,n,c,b,n,t,b,n,y,d,e
f,f,w,n,w,b,n,t,e,k,a,g,e
f,f,g,n,w,b,k,t,e,k,a,g,e
x,y,e,n,c,b,w,t,b,n,v,d,e
x,f,e,n,c,b,p,t,b,n,y,d,e
x,y,g,n,c,b,u,t,b,n,v,d,e
x,f,e,n,c,b,p,t,b,k,y,d,e
f,s,n,n,w,b,h,t,e,n,s,g,e
x,s,w,n,w,b,n,t,e,k,a,g,e
x,s,w,n,w,b,h,t,e,k,a,g,e
x,f,w,n,w,b,k,t,e,n,a,g,e
x,f,e,n,c,b,u,t,b,n,v,d,e
x,f,n,n,c,b,u,t,b,n,y,d,e
f,f,n,n,c,b,w,t,b,k,v,d,e
f,f,w,l,w,n,p,t,b,n,v,d,e
f,f,w,n,w,b,k,t,e,k,a,g,e
f,y,w,p,c,n,n,e,e,k,s,g,p
f,f,g,n,c,b,n,t,b,k,v,d,e
x,f,n,n,c,b,w,t,b,n,v,d,e
x,s,w,n,w,b,k,t,e,n,a,g,e
x,f,w,n,w,b,h,t,e,n,a,g,e
x,s,n,n,w,b,h,t,e,n,a,g,e
x,f,n,n,w,b,n,t,e,n,a,g,e
x,s,g,n,w,b,h,t,e,n,a,g,e
x,y,n,n,c,b,w,t,b,n,v,d,e
x,f,n,n,c,b,u,t,b,n,y,d,e
f,s,g,n,w,b,k,t,e,n,s,g,e
f,s,n,n,w,b,n,t,e,k,a,g,e
x,s,g,n,w,b,p,t,e,n,s,g,e
f,f,g,n,c,b,n,t,b,k,y,d,e
x,s,w,n,w,b,h,t,e,n,a,g,e
f,f,n,n,w,b,k,t,e,n,a,g,e
f,s,w,n,w,b,h,t,e,k,s,g,e
x,f,g,n,w,b,k,t,e,n,s,g,e
f,f,n,n,w,b,k,t,e,n,a,g,e
f,f,n,n,w,b,p,t,e,k,a,g,e
x,f,n,n,c,b,w,t,b,n,v,d,e
f,s,g,n,w,b,h,t,e,k,a,g,e
f,s,w,n,w,b,n,t,e,n,s,g,e
x,y,e,n,c,b,p,t,b,k,v,d,e
x,y,g,n,c,b,u,t,b,k,v,d,e
x,y,e,n,c,b,n,t,b,k,v,d,e
x,f,g,n,w,b,h,t,e,k,s,g,e
f,f,g,n,w,b,p,t,e,n,a,g,e
f,y,y,l,c,b,p,e,r,n,y,g,e
f,y,w,p,c,n,w,e,e,k,v,u,p
f,s,n,n,w,b,h,t,e,k,a,g,e
f,f,n,n,w,b,k,t,e,k,s,g,e
f,f,n,n,c,b,p,t,b,k,v,d,e
x,f,e,n,c,b,u,t,b,k,y,d,e
f,f,g,n,w,b,p,t,e,n,a,g,e
x,f,n,n,w,b,n,t,e,k,s,g,e
x,f,g,n,w,b,h,t,e,n,s,g,e
x,y,e,n,c,b,w,t,b,n,v,d,e
f,f,n,n,c,b,w,t,b,k,v,d,e
x,f,n,n,w,b,p,t,e,k,s,g,e
x,f,n,n,w,b,p,t,e,k,a,g,e
f,s,w,n,w,b,h,t,e,k,s,g,e
f,s,g,n,w,b,p,t,e,k,s,g,e
f,y,w,p,c,n,w,e,e,k,s,u,p
b,s,w,a,c,b,k,e,c,n,s,g,e
x,f,n,n,c,b,w,t,b,n,v,d,e
f,f,g,n,w,b,k,t,e,k,a,g,e
x,f,n,n,w,b,k,t,e,n,s,g,e
x,s,n,n,w,b,k,t,e,n,s,g,e
f,s,w,l,w,n,n,t,b,u,v,d,e
x,f,w,n,w,b,h,t,e,n,a,g,e
x,s,w,n,w,b,h,t,e,k,a,g,e
x,s,g,n,w,b,k,t,e,k,s,g,e
x,y,e,n,c,b,p,t,b,k,v,d,e
f,f,n,n,c,b,n,t,b,k,v,d,e
x,f,n,n,c,b,n,t,b,k,v,d,e
f,f,w,n,w,b,k,t,e,k,s,g,e
f,s,n,n,w,b,n,t,e,n,s,g,e
f,s,w,p,c,n,k,e,e,n,v,u,p
f,f,n,n,w,b,p,t,e,n,s,g,e
x,y,g,n,c,b,w,t,b,n,y,d,e
x,y,g,n,c,b,n,t,b,n,v,d,e
x,f,g,n,w,b,p,t,e,n,a,g,e
x,f,g,n,c,b,w,t,b,n,v,d,e
x,y,e,n,c,b,u,t,b,n,v,d,e
x,f,g,n,c,b,p,t,b,k,y,d,e
x,f,g,n,c,b,u,t,b,n,v,d,e
x,f,n,n,c,b,p,t,b,k,v,d,e
x,s,w,p,c,n,p,e,e,k,v,g,p
x,f,n,n,w,b,k,t,e,k,s,g,e
x,y,n,n,c,b,w,t,b,n,v,d,e
x,f,g,n,c,b,p,t,b,n,y,d,e
f,y,n,p,c,n,w,e,e,n,s,g,p
x,f,g,n,c,b,u,t,b,k,y,d,e
x,f,g,n,w,b,h,t,e,k,s,g,e
x,f,e,n,c,b,u,t,b,k,v,d,e
f,f,n,n,w,b,k,t,e,n,s,g,e
f,s,w,n,w,b,h,t,e,n,a,g,e
f,s,n,n,w,b,p,t,e,k,s,g,e
x,y,e,n,c,b,w,t,b,n,v,d,e
f,s,n,n,w,b,k,t,e,k,s,g,e
f,f,n,n,c,b,n,t,b,n,v,d,e
f,s,w,n,w,b,h,t,e,k,s,g,e
x,f,n,n,w,b,k,t,e,k,a,g,e
f,f,n,n,w,b,h,t,e,n,s,g,e
x,s,n,p,c,n,w,e,e,k,v,u,p
x,f,n,n,c,b,p,t,b,k,y,d,e
f,s,n,n,w,b,k,t,e,n,s,g,e
f,y,w,p,c,n,n,e,e,n,s,g,p
x,f,n,n,c,b,n,t,b,n,v,d,e
x,f,g,n,c,b,u,t,b,n,y,d,e
f,f,n,n,w,b,p,t,e,n,a,g,e
x,f,e,n,c,b,p,t,b,k,v,d,e
f,f,w,n,w,b,p,t,e,n,s,g,e
x,f,w,n,w,b,h,t,e,k,s,g,e
x,y,w,l,c,b,k,e,c,k,n,m,e
x,s,w,n,w,b,p,t,e,n,s,g,e
x,y,g,n,c,b,u,t,b,n,v,d,e
x,f,g,n,c,b,n,t,b,k,y,d,e
x,s,g,n,w,b,n,t,e,n,a,g,e
f,y,w,p,c,n,n,e,e,n,s,u,p
x,f,e,n,c,b,w,t,b,n,v,d,e
f,s,n,p,c,n,n,e,e,k,s,u,p
f,y,n,p,c,n,w,e,e,n,v,g,p
x,f,g,n,c,b,p,t,b,n,v,d,e
f,s,n,n,w,b,h,t,e,n,a,g,e
x,f,g,n,c,b,p,t,b,n,y,d,e
x,f,n,n,w,b,h,t,e,k,a,g,e
x,f,n,n,c,b,w,t,b,n,y,d,e
f,s,n,n,w,b,p,t,e,n,s,g,e
f,f,n,n,w,b,p,t,e,k,a,g,e
x,s,n,n,w,b,k,t,e,k,a,g,e
x,s,n,n,w,b,k,t,e,k,s,g,e
x,f,n,n,c,b,w,t,b,n,v,d,e
x,y,e,n,c,b,u,t,b,n,v,d,e
f,s,n,n,w,b,k,t,e,k,a,g,e
x,f,n,n,c,b,w,t,b,k,y,d,e
f,y,w,p,c,n,w,e,e,n,v,u,p
x,y,y,l,c,b,n,e,r,n,s,g,e
f,s,n,p,c,n,p,e,e,k,s,g,p
f,f,w,n,w,b,h,t,e,n,s,g,e
f,f,n,n,w,b,n,t,e,k,a,g,e
f,s,n,p,c,n,w,e,e,n,v,g,p
x,s,n,n,w,b,k,t,e,n,a,g,e
x,f,n,n,w,b,n,t,e,k,s,g,e
x,f,e,n,c,b,u,t,b,k,v,d,e
f,f,n,n,w,b,k,t,e,k,a,g,e
x,f,w,n,w,b,k,t,e,n,s,g,e
f,s,g,n,w,b,p,t,e,n,a,g,e
f,f,w,n,w,b,h,t,e,k,s,g,e
f,s,y,a,w,n,n,t,b,n,v,d,e
f,f,w,a,w,n,n,t,b,n,v,d,e
f,f,n,n,w,b,p,t,e,n,a,g,e
x,f,n,n,c,b,u,t,b,n,y,d,e
x,y,g,n,c,b,n,t,b,k,y,d,e
x,f,n,n,c,b,u,t,b,n,y,d,e
x,f,n,n,w,b,k,t,e,k,s,g,e
x,f,g,n,c,b,u,t,b,n,y,d,e
x,f,n,n,c,b,n,t,b,k,v,d,e
x,f,g,n,w,b,p,t,e,k,a,g,e
x,f,n,n,c,b,n,t,b,n,v,d,e
x,s,n,n,w,b,h,t,e,k,a,g,e
b,y,w,l,c,b,k,e,c,k,s,m,e
x,y,e,n,c,b,u,t,b,k,v,d,e
f,s,n,n,w,b,h,t,e,n,s,g,e
x,f,e,n,c,b,w,t,b,k,y,d,e
f,y,n,n,c,b,p,t,b,k,y,d,e
x,y,g,n,c,b,u,t,b,k,v,d,e
x,s,g,n,w,b,p,t,e,n,a,g,e
x,s,n,n,w,b,k,t,e,k,s,g,e
x,f,g,n,w,b,p,t,e,n,a,g,e
x,s,g,n,w,b,n,t,e,k,a,g,e
x,y,e,n,c,b,w,t,b,k,y,d,e
f,f,g,n,c,b,w,t,b,n,y,d,e
f,f,n,n,c,b,n,t,b,k,y,d,e
x,f,n,n,w,b,k,t,e,n,s,g,e
f,s,n,n,w,b,n,t,e,n,s,g,e
x,f,w,n,w,b,n,t,e,k,s,g,e
x,y,y,a,c,b,p,e,r,n,s,p,e
x,f,e,n,c,b,u,t,b,n,v,d,e
x,f,n,n,w,b,h,t,e,k,s,g,e
x,y,n,n,c,b,p,t,b,k,v,d,e
f,f,g,n,c,b,n,t,b,n,y,d,e
x,f,w,n,w,b,k,t,e,n,a,g,e
x,y,w,a,c,b,k,e,c,k,s,m,e
x,s,n,n,w,b,p,t,e,n,s,g,e
f,s,w,n,w,b,p,t,e,n,a,g,e
f,f,n,n,c,b,u,t,b,n,v,d,e
f,f,w,n,w,b,k,t,e,k,s,g,e
x,f,g,n,c,b,u,t,b,n,v,d,e
x,f,n,n,c,b,p,t,b,n,y,d,e
x,f,w,n,w,b,p,t,e,n,a,g,e
x,s,w,a,c,b,n,e,c,k,n,m,e
f,s,g,n,w,b,n,t,e,n,s,g,e
f,y,n,p,c,n,n,e,e,n,v,g,p
f,f,g,n,w,b,p,t,e,n,s,g,e
x,f,n,n,c,b,n,t,b,n,v,d,e
x,f,w,n,w,b,n,t,e,n,s,g,e
x,y,n,n,c,b,u,t,b,k,v,d,e
x,y,e,n,c,b,p,t,b,n,v,d,e
f,s,n,p,c,n,n,e,e,k,v,u,p
f,s,g,n,w,b,p,t,e,n,a,g,e
x,f,g,n,c,b,n,t,b,k,y,d,e
f,f,g,n,c,b,n,t,b,k,y,d,e
x,f,g,n,c,b,n,t,b,k,v,d,e
x,f,g,n,c,b,w,t,b,n,y,d,e
x,f,n,n,c,b,u,t,b,k,y,d,e
x,s,w,p,c,n,p,e,e,n,v,u,p
x,s,y,l,c,b,k,e,c,k,n,m,e
x,f,n,n,c,b,n,t,b,n,v,d,e
f,y,n,n,c,b,w,t,b,n,y,d,e
x,s,g,n,w,b,n,t,e,n,s,g,e
x,y,e,n,c,b,u,t,b,n,y,d,e
x,f,g,n,w,b,k,t,e,n,s,g,e
f,s,w,n,w,b,p,t,e,n,s,g,e
x,f,n,n,c,b,n,t,b,n,v,d,e
f,f,n,n,c,b,u,t,b,n,v,d,e
f,f,g,n,w,b,n,t,e,k,s,g,e
f,f,g,n,w,b,n,t,e,k,s,g,e
f,f,n,n,w,b,h,t,e,n,s,g,e
x,f,g,n,c,b,p,t,b,k,y,d,e
x,f,e,n,c,b,n,t,b,n,y,d,e
f,y,n,p,c,n,p,e,e,k,s,u,p
x,y,g,n,c,b,p,t,b,k,v,d,e
x,s,w,n,w,b,k,t,e,n,a,g,e
b,s,w,a,c,b,g,e,c,n,s,m,e
x,s,w,n,w,b,h,t,e,n,s,g,e
f,f,n,n,w,b,k,t,e,k,s,g,e
x,y,g,n,c,b,p,t,b,k,y,d,e
f,f,g,n,c,b,n,t,b,n,v,d,e
x,f,g,n,w,b,p,t,e,k,s,g,e
x,s,w,p,c,n,n,e,e,k,s,g,p
x,s,n,n,w,b,k,t,e,n,a,g,e
x,y,g,n,c,b,p,t,b,k,y,d,e
f,f,g,n,c,b,p,t,b,n,v,d,e
x,y,n,n,c,b,w,t,b,n,v,d,e
x,f,e,n,c,b,p,t,b,n,y,d,e
f,f,n,n,c,b,w,t,b,n,y,d,e
x,f,e,n,c,b,u,t,b,k,y,d,e
f,f,n,n,c,b,p,t,b,n,v,d,e
x,y,e,n,c,b,u,t,b,k,y,d,e
x,f,g,n,c,b,w,t,b,k,v,d,e
f,f,g,n,c,b,p,t,b,k,v,d,e
x,f,e,n,c,b,w,t,b,k,v,d,e
x,y,e,n,c,b,u,t,b,n,v,d,e
x,s,w,p,c,n,w,e,e,n,v,g,p
x,f,e,n,c,b,n,t,b,n,v,d,e
x,y,g,n,c,b,p,t,b,k,v,d,e
x,f,n,n,c,b,p,t,b,n,y,d,e
x,y,e,n,c,b,w,t,b,k,y,d,e
x,y,g,n,c,b,n,t,b,k,v,d,e
x,f,g,n,c,b,n,t,b,k,v,d,e
x,y,g,n,c,b,u,t,b,k,v,d,e
x,f,e,n,c,b,p,t,b,n,y,d,e
f,y,e,n,c,b,n,t,b,n,y,d,e
f,f,n,n,c,b,p,t,b,k,v,d,e
x,f,n,n,c,b,u,t,b,k,v,d,e
f,y,g,n,c,b,w,t,b,k,v,d,e
x,y,e,n,c,b,u,t,b,n,v,d,e
x,f,g,n,c,b,p,t,b,n,y,d,e
x,y,g,n,c,b,n,t,b,k,v,d,e
x,f,g,f,c,b,p,e,b,h,y,g,p
f,s,w,p,c,n,p,e,e,k,s,g,p
x,f,e,n,c,b,n,t,b,k,v,d,e
x,f,w,n,w,b,h,t,e,n,s,g,e
x,y,n,n,c,b,u,t,b,n,v,d,e
f,f,n,n,c,b,n,t,b,n,y,d,e
x,f,n,n,c,b,w,t,b,n,v,d,e
x,y,g,n,c,b,u,t,b,n,y,d,e
x,y,g,n,c,b,w,t,b,n,v,d,e
x,f,e,n,c,b,u,t,b,k,v,d,e
x,y,n,n,c,b,n,t,b,n,y,d,e
x,f,g,n,c,b,w,t,b,k,y,d,e
x,f,e,n,c,b,w,t,b,k,v,d,e
x,y,e,n,c,b,u,t,b,k,v,d,e
x,y,n,n,c,b,p,t,b,n,y,d,e
x,y,e,n,c,b,n,t,b,k,y,d,e
f,y,n,n,c,b,p,t,b,n,v,d,e
f,y,n,n,c,b,n,t,b,k,v,d,e
x,y,n,n,c,b,n,t,b,n,v,d,e
f,s,n,p,c,n,n,e,e,n,v,u,p
f,f,e,n,c,b,u,t,b,n,y,d,e
x,s,w,p,c,n,w,e,e,k,s,g,p
x,f,e,n,c,b,u,t,b,k,y,d,e
f,f,n,n,c,b,p,t,b,k,y,d,e
x,y,n,n,c,b,u,t,b,n,v,d,e
f,f,e,n,c,b,p,t,b,n,v,d,e
x,f,e,n,c,b,n,t,b,n,y,d,e
x,f,g,n,c,b,p,t,b,n,v,d,e
x,y,n,n,c,b,n,t,b,n,y,d,e
f,f,n,n,c,b,u,t,b,n,v,d,e
f,f,n,n,c,b,w,t,b,n,y,d,e
x,f,e,n,c,b,u,t,b,k,v,d,e
x,f,n,n,c,b,u,t,b,k,y,d,e
x,f,e,n,c,b,p,t,b,n,y,d,e
f,f,g,n,c,b,p,t,b,k,v,d,e
x,y,n,n,c,b,u,t,b,k,y,d,e
f,f,n,n,c,b,u,t,b,n,y,d,e
x,f,e,n,c,b,n,t,b,n,y,d,e
x,y,e,n,c,b,w,t,b,n,y,d,e
x,f,g,n,c,b,p,t,b,k,y,d,e
x,y,g,n,c,b,n,t,b,k,y,d,e
x,y,e,n,c,b,p,t,b,n,v,d,e
x,y,g,n,c,b,p,t,b,k,v,d,e
x,f,g,n,c,b,n,t,b,n,v,d,e
f,f,g,n,c,b,n,t,b,n,v,d,e
x,y,g,n,c,b,n,t,b,k,v,d,e
x,y,e,n,c,b,n,t,b,n,y,d,e
f,f,n,n,c,b,p,t,b,k,v,d,e
f,f,n,n,c,b,w,t,b,k,y,d,e
x,y,e,n,c,b,p,t,b,n,v,d,e
x,f,g,f,c,b,p,e,b,h,y,d,p
x,y,g,n,c,b,u,t,b,k,y,d,e
x,f,e,n,c,b,w,t,b,n,y,d,e
x,y,n,n,c,b,u,t,b,n,v,d,e
f,f,n,n,c,b,p,t,b,n,y,d,e
x,y,e,n,c,b,w,t,b,k,v,d,e
f,f,n,n,c,b,p,t,b,k,v,d,e
f,y,n,n,c,b,p,t,b,k,y,d,e
f,f,g,n,c,b,p,t,b,k,y,d,e
x,f,e,n,c,b,n,t,b,k,y,d,e
x,f,g,n,c,b,w,t,b,k,v,d,e
x,f,g,n,c,b,u,t,b,n,v,d,e
x,f,n,n,c,b,u,t,b,k,v,d,e
x,f,g,n,c,b,w,t,b,k,y,d,e
x,s,g,n,w,b,k,t,e,n,s,g,e
x,y,e,n,c,b,u,t,b,k,y,d,e
f,f,g,n,c,b,p,t,b,k,y,d,e
x,y,e,n,c,b,n,t,b,n,v,d,e
f,f,g,n,c,b,n,t,b,k,v,d,e
x,f,g,n,c,b,u,t,b,k,y,d,e
x,f,g,n,c,b,n,t,b,n,v,d,e
f,f,g,n,c,b,p,t,b,n,y,d,e
x,s,w,n,w,b,p,t,e,n,a,g,e
x,f,n,n,c,b,w,t,b,n,y,d,e
f,f,n,n,c,b,w,t,b,k,v,d,e
f,f,g,n,c,b,p,t,b,k,y,d,e
x,y,g,n,c,b,w,t,b,k,y,d,e
x,f,e,n,c,b,u,t,b,n,v,d,e
x,y,e,n,c,b,u,t,b,k,v,d,e
x,f,n,n,c,b,w,t,b,k,y,d,e
f,y,g,n,c,b,w,t,b,k,y,d,e
x,y,g,n,c,b,w,t,b,n,v,d,e
x,s,p,c,w,n,g,e,b,n,s,d,p
x,y,n,n,c,b,p,t,b,n,y,d,e
f,f,g,n,c,b,n,t,b,k,v,d,e
x,y,e,n,c,b,p,t,b,k,y,d,e
f,f,n,n,c,b,p,t,b,n,v,d,e
x,y,n,n,c,b,w,t,b,n,v,d,e
